retinal_trait_id	retinal_gwas	systemic_trait_id	systemic_gwas	risk	shared_cohorts	ukb_overlap	probable_overlap_fraction	evidence_source	impact_on_mr	primary_allowed	sensitivity_only
ret_rnfl_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_pd_nalls2019_proxy_ukb	IPDGC PD clinical plus UKB proxy meta-analysis	HIGH	UK Biobank	YES	Material; exact individual overlap unavailable	Both GWAS explicitly include UK Biobank	Bias toward observational association and weak-instrument direction; not primary MR	NO	YES
ret_gcipl_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_cad_nikpay2015	1000 Genomes-based CAD meta-analysis	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_gcipl_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_stroke_megastroke2018	MEGASTROKE European AIS	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_gcipl_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_hf_shah2020_noukb	HERMES heart failure meta-analysis excluding UK Biobank	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_gcipl_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_t2d_scott2017	Expanded T2D GWAS with 1000 Genomes imputation	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_gcipl_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_ckd_wuttke2019	CKDGen 2019 CKD European ancestry	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_gcipl_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_ad_kunkle2019	IGAP stage 1 clinically diagnosed AD	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_gcipl_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_pd_nalls2019_clinical	IPDGC Parkinson disease clinical case-control meta-analysis	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_gcipl_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_sle_bentham2015	SLE European discovery GWAS	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_gcipl_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_ibd_delange2017	European IBD meta-analysis	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_gcipl_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_ra_okada2014_eur	Okada 2014 European ancestry stage 1	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_gcipl_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_hf_shah2020_full_ukb	HERMES full meta-analysis	HIGH	UK Biobank	YES	Material; exact individual overlap unavailable	Both GWAS explicitly include UK Biobank	Bias toward observational association and weak-instrument direction; not primary MR	NO	YES
ret_gcipl_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_pd_nalls2019_proxy_ukb	IPDGC PD clinical plus UKB proxy meta-analysis	HIGH	UK Biobank	YES	Material; exact individual overlap unavailable	Both GWAS explicitly include UK Biobank	Bias toward observational association and weak-instrument direction; not primary MR	NO	YES
ret_inl_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_cad_nikpay2015	1000 Genomes-based CAD meta-analysis	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_inl_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_stroke_megastroke2018	MEGASTROKE European AIS	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_inl_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_hf_shah2020_noukb	HERMES heart failure meta-analysis excluding UK Biobank	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_inl_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_t2d_scott2017	Expanded T2D GWAS with 1000 Genomes imputation	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_inl_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_ckd_wuttke2019	CKDGen 2019 CKD European ancestry	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_inl_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_ad_kunkle2019	IGAP stage 1 clinically diagnosed AD	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_inl_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_pd_nalls2019_clinical	IPDGC Parkinson disease clinical case-control meta-analysis	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_inl_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_sle_bentham2015	SLE European discovery GWAS	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_inl_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_ibd_delange2017	European IBD meta-analysis	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_inl_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_ra_okada2014_eur	Okada 2014 European ancestry stage 1	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_inl_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_hf_shah2020_full_ukb	HERMES full meta-analysis	HIGH	UK Biobank	YES	Material; exact individual overlap unavailable	Both GWAS explicitly include UK Biobank	Bias toward observational association and weak-instrument direction; not primary MR	NO	YES
ret_inl_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_pd_nalls2019_proxy_ukb	IPDGC PD clinical plus UKB proxy meta-analysis	HIGH	UK Biobank	YES	Material; exact individual overlap unavailable	Both GWAS explicitly include UK Biobank	Bias toward observational association and weak-instrument direction; not primary MR	NO	YES
ret_inl_elm_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_cad_nikpay2015	1000 Genomes-based CAD meta-analysis	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_inl_elm_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_stroke_megastroke2018	MEGASTROKE European AIS	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_inl_elm_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_hf_shah2020_noukb	HERMES heart failure meta-analysis excluding UK Biobank	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_inl_elm_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_t2d_scott2017	Expanded T2D GWAS with 1000 Genomes imputation	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_inl_elm_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_ckd_wuttke2019	CKDGen 2019 CKD European ancestry	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_inl_elm_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_ad_kunkle2019	IGAP stage 1 clinically diagnosed AD	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_inl_elm_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_pd_nalls2019_clinical	IPDGC Parkinson disease clinical case-control meta-analysis	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_inl_elm_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_sle_bentham2015	SLE European discovery GWAS	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_inl_elm_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_ibd_delange2017	European IBD meta-analysis	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_inl_elm_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_ra_okada2014_eur	Okada 2014 European ancestry stage 1	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_inl_elm_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_hf_shah2020_full_ukb	HERMES full meta-analysis	HIGH	UK Biobank	YES	Material; exact individual overlap unavailable	Both GWAS explicitly include UK Biobank	Bias toward observational association and weak-instrument direction; not primary MR	NO	YES
ret_inl_elm_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_pd_nalls2019_proxy_ukb	IPDGC PD clinical plus UKB proxy meta-analysis	HIGH	UK Biobank	YES	Material; exact individual overlap unavailable	Both GWAS explicitly include UK Biobank	Bias toward observational association and weak-instrument direction; not primary MR	NO	YES
ret_elm_isos_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_cad_nikpay2015	1000 Genomes-based CAD meta-analysis	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_elm_isos_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_stroke_megastroke2018	MEGASTROKE European AIS	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_elm_isos_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_hf_shah2020_noukb	HERMES heart failure meta-analysis excluding UK Biobank	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_elm_isos_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_t2d_scott2017	Expanded T2D GWAS with 1000 Genomes imputation	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_elm_isos_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_ckd_wuttke2019	CKDGen 2019 CKD European ancestry	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_elm_isos_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_ad_kunkle2019	IGAP stage 1 clinically diagnosed AD	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_elm_isos_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_pd_nalls2019_clinical	IPDGC Parkinson disease clinical case-control meta-analysis	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_elm_isos_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_sle_bentham2015	SLE European discovery GWAS	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_elm_isos_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_ibd_delange2017	European IBD meta-analysis	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_elm_isos_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_ra_okada2014_eur	Okada 2014 European ancestry stage 1	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_elm_isos_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_hf_shah2020_full_ukb	HERMES full meta-analysis	HIGH	UK Biobank	YES	Material; exact individual overlap unavailable	Both GWAS explicitly include UK Biobank	Bias toward observational association and weak-instrument direction; not primary MR	NO	YES
ret_elm_isos_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_pd_nalls2019_proxy_ukb	IPDGC PD clinical plus UKB proxy meta-analysis	HIGH	UK Biobank	YES	Material; exact individual overlap unavailable	Both GWAS explicitly include UK Biobank	Bias toward observational association and weak-instrument direction; not primary MR	NO	YES
ret_isos_rpe_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_cad_nikpay2015	1000 Genomes-based CAD meta-analysis	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_isos_rpe_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_stroke_megastroke2018	MEGASTROKE European AIS	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_isos_rpe_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_hf_shah2020_noukb	HERMES heart failure meta-analysis excluding UK Biobank	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_isos_rpe_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_t2d_scott2017	Expanded T2D GWAS with 1000 Genomes imputation	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_isos_rpe_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_ckd_wuttke2019	CKDGen 2019 CKD European ancestry	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_isos_rpe_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_ad_kunkle2019	IGAP stage 1 clinically diagnosed AD	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_isos_rpe_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_pd_nalls2019_clinical	IPDGC Parkinson disease clinical case-control meta-analysis	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_isos_rpe_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_sle_bentham2015	SLE European discovery GWAS	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_isos_rpe_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_ibd_delange2017	European IBD meta-analysis	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_isos_rpe_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_ra_okada2014_eur	Okada 2014 European ancestry stage 1	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_isos_rpe_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_hf_shah2020_full_ukb	HERMES full meta-analysis	HIGH	UK Biobank	YES	Material; exact individual overlap unavailable	Both GWAS explicitly include UK Biobank	Bias toward observational association and weak-instrument direction; not primary MR	NO	YES
ret_isos_rpe_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_pd_nalls2019_proxy_ukb	IPDGC PD clinical plus UKB proxy meta-analysis	HIGH	UK Biobank	YES	Material; exact individual overlap unavailable	Both GWAS explicitly include UK Biobank	Bias toward observational association and weak-instrument direction; not primary MR	NO	YES
ret_macular_total_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_cad_nikpay2015	1000 Genomes-based CAD meta-analysis	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_macular_total_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_stroke_megastroke2018	MEGASTROKE European AIS	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_macular_total_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_hf_shah2020_noukb	HERMES heart failure meta-analysis excluding UK Biobank	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_macular_total_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_t2d_scott2017	Expanded T2D GWAS with 1000 Genomes imputation	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_macular_total_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_ckd_wuttke2019	CKDGen 2019 CKD European ancestry	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_macular_total_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_ad_kunkle2019	IGAP stage 1 clinically diagnosed AD	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_macular_total_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_pd_nalls2019_clinical	IPDGC Parkinson disease clinical case-control meta-analysis	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_macular_total_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_sle_bentham2015	SLE European discovery GWAS	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
ret_macular_total_left	Eye-brain connections revealed by multimodal retinal and brain imaging genetics	sys_ibd_delange2017	European IBD meta-analysis	LOW	None identified at metadata level	NO	Approximately 0 for UKB; residual cohort overlap not identified	Retinal GWAS is UKB; selected systemic release explicitly excludes/predates UKB	No material UKB-induced overlap expected	YES_PROVISIONAL	NO
