trait_id	trait_name	domain	subdomain	study_name	first_author	year	journal	doi	pmid	consortium	ancestry	sample_size	n_cases	n_controls	cohort_sources	ukb_included	estimated_ukb_fraction	genome_build	variant_count	units	effect_allele_definition	effect_scale	summary_statistics_available	download_url	file_format	license	sample_source	probable_sample_overlap	primary_candidate	access_date	url_verified	notes
ret_crae	Central retinal arteriolar equivalent	retinal	microvasculature	Genetic association and Mendelian randomization for retinal vasculature	Ortín Vela	2024	Nature Communications	10.1038/s41467-024-52334-1	39505872	UK Biobank	European	65015	NA	NA	UK Biobank imaging cohort	YES	1.0	GRCh37	~12 million	rank-based inverse-normalised vascular IDP	effect_allele	BGENIE beta	FULL	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90446001-GCST90447000/GCST90446763/GCST90446763.tsv.gz	GWAS-SSF v1.0 TSV.GZ	GWAS Catalog terms / article CC BY	UK Biobank	High with any systemic UKB GWAS	YES	2026-09-09	YES	Study reports retinal-IDP h2 range 0.05-0.25; trait-specific value not yet extracted.
ret_crve	Central retinal venular equivalent	retinal	microvasculature	Genetic association and Mendelian randomization for retinal vasculature	Ortín Vela	2024	Nature Communications	10.1038/s41467-024-52334-1	39505872	UK Biobank	European	65374	NA	NA	UK Biobank imaging cohort	YES	1.0	GRCh37	~12 million	rank-based inverse-normalised vascular IDP	effect_allele	BGENIE beta	FULL	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90446001-GCST90447000/GCST90446764/GCST90446764.tsv.gz	GWAS-SSF v1.0 TSV.GZ	GWAS Catalog terms / article CC BY	UK Biobank	High with any systemic UKB GWAS	YES	2026-09-09	YES	Study reports retinal-IDP h2 range 0.05-0.25; trait-specific value not yet extracted.
ret_avr	Artery-to-vein central retinal equivalent ratio	retinal	microvasculature	Genetic association and Mendelian randomization for retinal vasculature	Ortín Vela	2024	Nature Communications	10.1038/s41467-024-52334-1	39505872	UK Biobank	European	64431	NA	NA	UK Biobank imaging cohort	YES	1.0	GRCh37	~12 million	rank-based inverse-normalised vascular IDP	effect_allele	BGENIE beta	FULL	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90446001-GCST90447000/GCST90446765/GCST90446765.tsv.gz	GWAS-SSF v1.0 TSV.GZ	GWAS Catalog terms / article CC BY	UK Biobank	High with any systemic UKB GWAS	YES	2026-09-09	YES	Study reports retinal-IDP h2 range 0.05-0.25; trait-specific value not yet extracted.
ret_art_density	Retinal arterial vascular density	retinal	microvasculature	Genetic association and Mendelian randomization for retinal vasculature	Ortín Vela	2024	Nature Communications	10.1038/s41467-024-52334-1	39505872	UK Biobank	European	68249	NA	NA	UK Biobank imaging cohort	YES	1.0	GRCh37	~12 million	rank-based inverse-normalised vascular IDP	effect_allele	BGENIE beta	FULL	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90446001-GCST90447000/GCST90446768/GCST90446768.tsv.gz	GWAS-SSF v1.0 TSV.GZ	GWAS Catalog terms / article CC BY	UK Biobank	High with any systemic UKB GWAS	YES	2026-09-09	YES	Study reports retinal-IDP h2 range 0.05-0.25; trait-specific value not yet extracted.
ret_ven_density	Retinal venular vascular density	retinal	microvasculature	Genetic association and Mendelian randomization for retinal vasculature	Ortín Vela	2024	Nature Communications	10.1038/s41467-024-52334-1	39505872	UK Biobank	European	68249	NA	NA	UK Biobank imaging cohort	YES	1.0	GRCh37	~12 million	rank-based inverse-normalised vascular IDP	effect_allele	BGENIE beta	FULL	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90446001-GCST90447000/GCST90446769/GCST90446769.tsv.gz	GWAS-SSF v1.0 TSV.GZ	GWAS Catalog terms / article CC BY	UK Biobank	High with any systemic UKB GWAS	YES	2026-09-09	YES	Study reports retinal-IDP h2 range 0.05-0.25; trait-specific value not yet extracted.
ret_bifurcations	Retinal vasculature number of bifurcations	retinal	microvasculature	Genetic association and Mendelian randomization for retinal vasculature	Ortín Vela	2024	Nature Communications	10.1038/s41467-024-52334-1	39505872	UK Biobank	European	67751	NA	NA	UK Biobank imaging cohort	YES	1.0	GRCh37	~12 million	rank-based inverse-normalised vascular IDP	effect_allele	BGENIE beta	FULL	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90446001-GCST90447000/GCST90446774/GCST90446774.tsv.gz	GWAS-SSF v1.0 TSV.GZ	GWAS Catalog terms / article CC BY	UK Biobank	High with any systemic UKB GWAS	YES	2026-09-09	YES	Study reports retinal-IDP h2 range 0.05-0.25; trait-specific value not yet extracted.
ret_currant_inner_layers	RNFL and GCIPL thickness	retinal	neuroretina	Genetic variation affects morphological retinal phenotypes	Currant	2021	PLOS Genetics	10.1371/journal.pgen.1009497	33979322	UK Biobank	European PCA cluster	31434	NA	NA	UK Biobank	YES	1.0	GRCh37	NA	quantitative OCT thickness	NA	beta	FULL	https://www.ebi.ac.uk/gwas/studies/GCST90014266	TSV.GZ	GWAS Catalog terms / article CC BY	UK Biobank	High with systemic UKB GWAS	NO_SECONDARY_VALIDATION	2026-09-09	YES	GCST90014266-267; superseded for primary power by Zhao 2024.
ret_jiang_vasculometry	Artery/vein tortuosity and width	retinal	microvasculature	GWAS of retinal vasculometry phenotypes	Jiang	2023	PLOS Genetics	10.1371/journal.pgen.1010583	36757925	UK Biobank	European	52798	NA	NA	UK Biobank	YES	1.0	GRCh37	NA	quantitative vascular phenotype	NA	beta	FULL	https://www.ebi.ac.uk/gwas/studies/GCST90270397	TSV.GZ	GWAS Catalog terms / article CC BY	UK Biobank	High with systemic UKB GWAS	NO_SECONDARY_VALIDATION	2026-09-09	YES	GCST90270397-400; lower N and overlapping definitions versus Ortín Vela 2024.
ret_tomasoni_tortuosity	Retinal vessel tortuosity	retinal	microvasculature	Genome-wide association study of retinal vessel tortuosity	Tomasoni	2023	Ophthalmology Science	10.1016/j.xops.2023.100288	37131961	UK Biobank/SKIPOGH/OphtalmoLaus	European	62751 discovery; 909 replication	NA	NA	UK Biobank; SKIPOGH; OphtalmoLaus	YES	0.986 discovery+replication	GRCh37	NA	quantitative tortuosity	NA	beta	FULL	https://www.ebi.ac.uk/gwas/studies/GCST90239688	TSV.GZ	GWAS Catalog terms / article CC BY	UKB discovery; independent Swiss replication	High for discovery	NO_SECONDARY_VALIDATION	2026-09-09	YES	GCST90239688-690; four of 175 discovery loci replicated.
ret_spatial_fpc	Six spatial retinal-thickness functional principal components	retinal	spatial_retina	Spatial GWAS of retinal thickness	Jackson	2025	Nature Communications	10.1038/s41467-024-55635-7	39904976	UK Biobank	European	~43148	NA	NA	UK Biobank	YES	1.0	GRCh37	NA	functional principal-component score	NA	beta	FULL	https://www.ebi.ac.uk/gwas/studies/GCST90455721	TSV	GWAS Catalog/OSF	UK Biobank	High with systemic UKB GWAS	NO_SECONDARY_ATLAS	2026-09-09	YES	GCST90455721-726; biologically less direct than named layers; h2 0.027-0.339.
ret_age_gap	Retinal age gap	retinal	aging	Genetic architecture of retinal age gap	Huang	2025	GeroScience	10.1007/s11357-024-01481-w	39775603	UK Biobank/GoDARTS	European	31271 discovery; 8034 replication	NA	NA	UK Biobank; GoDARTS	YES	0.796 combined	NR	NA	predicted age minus chronological age	NA	beta	REQUEST_FROM_AUTHORS	https://pubmed.ncbi.nlm.nih.gov/39775603/	not directly downloadable	NR	UKB discovery; GoDARTS replication	High for UKB discovery	NO_EXCLUDE_PHASE0	2026-09-09	YES (article; no direct GWAS file)	Published h2=0.15 and 13 loci; genome-wide data only on reasonable request.
sys_cad_nikpay2015	Coronary artery disease	systemic	cardiovascular	1000 Genomes-based CAD meta-analysis	Nikpay	2015	Nature Genetics	10.1038/ng.3396	26343387	CARDIoGRAMplusC4D	Primarily European; trans-ethnic overall	184305 overall; 141217 European	60801 overall; 42096 European	123504 overall; 99121 European	CARDIoGRAMplusC4D cohorts; predates UKB	NO	0	GRCh37	~9.4 million	binary CAD	coded allele	logOR	FULL	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST003001-GCST004000/GCST003116/cad.add.160614.website.txt	whitespace text	consortium/GWAS Catalog terms	international case-control cohorts	LOW with UKB retinal imaging	YES	2026-09-09	YES	Use European stratum if separable; overall file ancestry composition must be confirmed during full-file QC.
sys_stroke_megastroke2018	Any ischemic stroke	systemic	cardiovascular	MEGASTROKE European AIS	Malik	2018	Nature Genetics	10.1038/s41588-018-0058-3	29531354	MEGASTROKE	European	440328	34217	406111	MEGASTROKE cohorts; UKB used separately in later work	NO	0	GRCh37	~8 million	binary AIS	effect allele	logOR	FULL	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST006001-GCST007000/GCST006908/MEGASTROKE.2.AIS.EUR.out	whitespace text	GWAS Catalog/MEGASTROKE terms	international stroke consortia	LOW with UKB retinal imaging	YES	2026-09-09	YES	European any-ischemic-stroke analysis.
sys_hf_shah2020_noukb	Heart failure	systemic	cardiovascular	HERMES heart failure meta-analysis excluding UK Biobank	Shah	2020	Nature Communications	10.1038/s41467-019-13690-5	31919418	HERMES	European	583167	40805	542362	HERMES cohorts with UKB removed	NO	0	GRCh37	~8 million	binary HF	effect allele	logOR	FULL	https://api.kpndataregistry.org/api/d/3pxqJY	compressed text	CVD Knowledge Portal terms	HERMES no-UKB release	LOW with UKB retinal imaging	YES	2026-09-09	YES	Primary must use the explicit no-UKB release, not GCST009541.
sys_t2d_scott2017	Type 2 diabetes	systemic	metabolic	Expanded T2D GWAS with 1000 Genomes imputation	Scott	2017	Diabetes	10.2337/db16-1253	28566273	DIAGRAM	European	159208	26676	132532	DIAGRAM cohorts; predates UKB GWAS inclusion	NO	0	GRCh37	~12.1 million	binary T2D	effect allele	logOR	FULL	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST004001-GCST005000/GCST004773/METAANALYSIS_DIAGRAM_SE1.txt	whitespace text	DIAGRAM/GWAS Catalog terms	DIAGRAM case-control cohorts	LOW with UKB retinal imaging	YES	2026-09-09	YES	Chosen over newer UKB-containing T2D meta-analyses to minimise overlap.
sys_ckd_wuttke2019	Chronic kidney disease	systemic	renal	CKDGen 2019 CKD European ancestry	Wuttke	2019	Nature Genetics	10.1038/s41588-019-0407-x	31152163	CKDGen	European	480698	41395	439303	23 CKDGen studies; UKB independent validation only	NO	0	GRCh37	~8 million	binary eGFR-defined CKD	effect allele	logOR	FULL	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST008001-GCST009000/GCST008065/CKD_overall_EA_JW_20180223_nstud23.dbgap.txt.gz	TSV.GZ	CKDGen/GWAS Catalog terms	CKDGen cohorts	LOW with UKB retinal imaging	YES	2026-09-09	YES	European discovery file; do not substitute UKB validation results.
sys_ad_kunkle2019	Alzheimer disease	systemic	neurodegeneration	IGAP stage 1 clinically diagnosed AD	Kunkle	2019	Nature Genetics	10.1038/s41588-019-0358-2	30820047	IGAP	European	63926	21982	41944	ADGC; CHARGE; EADI; GERAD/PERADES	NO	0	GRCh37	~11.5 million	binary AD	effect allele	logOR	FULL	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST007001-GCST008000/GCST007511/Kunkle_etal_Stage1_results.txt	whitespace text	IGAP/NIAGADS/GWAS Catalog terms	clinical AD consortia	LOW with UKB retinal imaging	YES	2026-09-09	YES	Clinical diagnosis only; avoids UKB proxy cases.
sys_pd_nalls2019_clinical	Parkinson disease	systemic	neurodegeneration	IPDGC Parkinson disease clinical case-control meta-analysis	Nalls	2019	Lancet Neurology	10.1016/S1474-4422(19)30320-5	31701892	IPDGC	European	27693	15056	12637	IPDGC clinical cohorts; excludes UKB and 23andMe	NO	0	GRCh37	~17.9 million	binary PD	effect allele	logOR beta	FULL	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST009001-GCST010000/GCST009324/GCST009324.tsv.gz	GWAS-SSF v1.0 TSV.GZ	GWAS Catalog/IPDGC terms	clinically ascertained case-control cohorts	LOW with UKB retinal imaging	YES	2026-09-09	YES	Full file verified; preferred to proxy-case GCST009325.
sys_sle_bentham2015	Systemic lupus erythematosus	systemic	immune	SLE European discovery GWAS	Bentham	2015	Nature Genetics	10.1038/ng.3434	26502338	SLEGEN/European collaborators	European	14267	5201	9066	European SLE case-control cohorts	NO	0	GRCh37	~7.1 million	binary SLE	effect allele	logOR	FULL	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST003001-GCST004000/GCST003156/bentham_2015_26502338_sle_efo0002690_1_gwas.sumstats.tsv.gz	TSV.GZ	GWAS Catalog terms	European case-control cohorts	LOW with UKB retinal imaging	YES	2026-09-09	YES	Discovery sample; published total including replication is larger.
sys_ibd_delange2017	Inflammatory bowel disease	systemic	immune	European IBD meta-analysis	de Lange	2017	Nature Genetics	10.1038/ng.3760	28067908	IIBDGC	European	59957	25042	34915	IIBDGC case-control cohorts	NO	0	GRCh37	~9.6 million	binary IBD	effect allele	logOR	FULL	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST004001-GCST005000/GCST004131/ibd_build37_59957_20161107.txt.gz	TSV.GZ	IIBDGC/GWAS Catalog terms	European IBD cohorts	LOW with UKB retinal imaging	YES	2026-09-09	YES	Composite IBD primary; Crohn disease and ulcerative colitis are prespecified secondary traits.
sys_ra_okada2014_eur	Rheumatoid arthritis	systemic	immune	Okada 2014 European ancestry stage 1	Okada	2014	Nature	10.1038/nature12873	24390342	RA international meta-analysis	European	58284	14361	43923	18 European studies	NO	0	GRCh37	8747963 reported by OpenGWAS	binary RA	effect allele	logOR	CONDITIONAL_THIRD_PARTY_ONLY	https://gwas.mrcieu.ac.uk/datasets/ieu-a-832/	VCF/API token required	Original author terms unclear; OpenGWAS access policy	European RA cohorts	LOW with UKB retinal imaging	CONDITIONAL	2026-09-09	YES (metadata only)	Official GWAS Catalog GCST002318 file is explicitly trans-ethnic; European-only original link is no longer directly exposed.
sys_ms_patsopoulos2019	Multiple sclerosis	systemic	neuroinflammation	IMSGC 2019 MS meta-analysis	Patsopoulos	2019	Science	10.1126/science.aav7188	31604244	IMSGC	European	115803	47429	68374	IMSGC cohorts	NO	0	GRCh37	~8 million	binary MS	effect allele	logOR	REQUEST_GATED	https://imsgc.net/request-summary-statistics/	released after approved request	IMSGC data-use terms	IMSGC case-control cohorts	LOW with UKB retinal imaging	NO_BLOCKED	2026-09-09	YES	No anonymous direct full-statistics download; GCST009597 is unavailable/incomplete.
sys_copd_hobbs2017	COPD	systemic	pulmonary	International COPD GWAS	Hobbs	2017	Nature Genetics	10.1038/ng.3752	28166213	ICGC/COPDGene and collaborators	European	63192	15256	47936	multiple COPD cohorts; some data via dbGaP	NO in principal discovery	0	GRCh37	NR	binary COPD	effect allele	logOR	CONTROLLED_OR_NOT_DIRECT	https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs000179.v5.p2	dbGaP controlled access	dbGaP data-use terms	international COPD cohorts	LOW if non-UKB release used	NO_OPTIONAL_BLOCKED	2026-09-09	YES	Optional disease; no immediately downloadable consortium-wide full file verified.
sys_hf_shah2020_full_ukb	Heart failure (full HERMES including UKB)	systemic	cardiovascular	HERMES full meta-analysis	Shah	2020	Nature Communications	10.1038/s41467-019-13690-5	31919418	HERMES	European	977323	47309	930014	HERMES including UK Biobank	YES	unknown but material	GRCh37	~8 million	binary HF	effect allele	logOR	FULL	https://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST009001-GCST010000/GCST009541/ShahS_31919418_HeartFailure.gz	GZIP text	GWAS Catalog/HERMES terms	HERMES including UKB	HIGH with all UKB retinal GWAS	NO_SENSITIVITY_ONLY	2026-09-09	YES	Explicit high-overlap sensitivity dataset; never primary directional evidence.
sys_pd_nalls2019_proxy_ukb	Parkinson disease including proxy cases	systemic	neurodegeneration	IPDGC PD clinical plus UKB proxy meta-analysis	Nalls	2019	Lancet Neurology	10.1016/S1474-4422(19)30320-5	31701892	IPDGC	European	482730	33674 including proxies	449056	IPDGC plus UK Biobank proxy phenotype	YES	~0.94 of controls plus 18618 proxies	GRCh37	~17.9 million	binary/proxy PD	effect allele	logOR	FULL	https://www.ebi.ac.uk/gwas/studies/GCST009325	TSV.GZ	GWAS Catalog/IPDGC terms	IPDGC plus UKB	HIGH with all UKB retinal GWAS	NO_SENSITIVITY_ONLY	2026-09-09	YES	Proxy phenotype and direct UKB overlap; not primary directional evidence.
