retinal_trait	retinal_domain	systemic_disease	rg	se	z	p	q_global	q_within_retinal_domain	n_snps	valid_alleles	retinal_h2	retinal_h2_se	retinal_h2_z	disease_h2	disease_h2_se	disease_h2_z	ldsc_intercept	gencov_intercept_se	retinal_mean_chi2	retinal_ratio	retinal_ldsc_intercept	retinal_ldsc_intercept_se	disease_mean_chi2	disease_ratio	disease_ldsc_intercept	disease_ldsc_intercept_se	qc_flag	old_q_global	new_q_98	old_status	leave_CAD_out_status	old_q_112
ret_inl_left	neuroretina	sys_stroke_megastroke2018	0.1564	0.0553	2.8302	0.0047	0.16352	0.1504	919544	919170	0.2471	0.0312	7.919871794871795	0.0083	0.0011	7.545454545454545	-0.0109	0.005	1.359	0.1874	1.0673	0.0117	1.1404	0.3338	1.0469	0.0068	PASS	0.16352	0.17885	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.16352
ret_inl_left	neuroretina	sys_t2d_scott2017	0.0074	0.0552	0.1338	0.8935	0.9622307692307692	0.9778	919544	919276	0.2471	0.0312	7.919871794871795	0.0551	0.0046	11.97826086956522	-0.0032	0.0063	1.359	0.1874	1.0673	0.0117	1.2309	0.133	1.0307	0.0087	PASS	0.9622307692307692	0.9729222222222222	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.9622307692307692
ret_inl_left	neuroretina	sys_ckd_wuttke2019	-0.0516	0.0675	-0.7648	0.4444	0.7807757575757576	0.8099047619047619	919544	916999	0.2471	0.0312	7.919871794871795	0.0096	0.0015	6.3999999999999995	-0.0027	0.006	1.359	0.1874	1.0673	0.0117	1.1963	0.4639	1.0911	0.0077	PASS	0.7807757575757576	0.8047878787878789	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.7807757575757576
ret_inl_left	neuroretina	sys_ad_kunkle2019	-0.0201	0.0699	-0.2871	0.774	0.9222127659574468	0.9778	919544	919270	0.2471	0.0312	7.919871794871795	0.0553	0.0099	5.585858585858586	0.0108	0.0064	1.359	0.1874	1.0673	0.0117	1.1182	0.3241	1.0383	0.0076	PASS	0.9222127659574468	0.9364444444444445	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.9222127659574468
ret_inl_left	neuroretina	sys_pd_nalls2019_clinical	-0.0519	0.046	-1.1299	0.2585	0.6893333333333334	0.8099047619047619	919544	918811	0.2471	0.0312	7.919871794871795	0.164	0.018	9.111111111111112	0.0093	0.0054	1.359	0.1874	1.0673	0.0117	1.0897	NA	0.988	0.0059	RATIO_NEGATIVE	0.6893333333333334	0.6666578947368421	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.6893333333333334
ret_inl_left	neuroretina	sys_sle_bentham2015	0.1076	0.1111	0.9687	0.3327	0.7394196078431372	0.8099047619047619	919544	819644	0.2471	0.0312	7.919871794871795	0.3707	0.0653	5.67687595712098	-0.0079	0.009	1.359	0.1874	1.0673	0.0117	1.3539	0.6219	1.2201	0.0089	PASS	0.7394196078431372	0.7332577777777778	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.7394196078431372
ret_inl_left	neuroretina	sys_ibd_delange2017	-0.0289	0.0391	-0.7386	0.4601	0.7807757575757576	0.8099047619047619	919544	892923	0.2471	0.0312	7.919871794871795	0.2137	0.0228	9.37280701754386	-0.003	0.0058	1.359	0.1874	1.0673	0.0117	1.4985	0.3731	1.186	0.0105	PASS	0.7807757575757576	0.8047878787878789	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.7807757575757576
ret_inl_elm_left	neuroretina	sys_stroke_megastroke2018	0.0305	0.0482	0.6325	0.5271	0.7876842105263158	0.8099047619047619	919544	919170	0.2928	0.0517	5.663442940038684	0.0083	0.0011	7.545454545454545	-0.0024	0.0051	1.4118	0.1655	1.0682	0.0106	1.1404	0.3338	1.0469	0.0068	PASS	0.7876842105263158	0.8047878787878789	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.7876842105263158
ret_inl_elm_left	neuroretina	sys_t2d_scott2017	0.001	0.0362	0.0278	0.9778	0.9872144144144144	0.9778	919544	919276	0.2928	0.0517	5.663442940038684	0.0551	0.0046	11.97826086956522	-0.0118	0.0058	1.4118	0.1655	1.0682	0.0106	1.2309	0.133	1.0307	0.0087	PASS	0.9872144144144144	0.9884	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.9872144144144144
ret_inl_elm_left	neuroretina	sys_ckd_wuttke2019	-0.0853	0.0534	-1.5984	0.11	0.5646666666666667	0.8099047619047619	919544	916999	0.2928	0.0517	5.663442940038684	0.0096	0.0015	6.3999999999999995	0.001	0.0059	1.4118	0.1655	1.0682	0.0106	1.1963	0.4639	1.0911	0.0077	PASS	0.5646666666666667	0.5155652173913043	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.5646666666666667
ret_inl_elm_left	neuroretina	sys_ad_kunkle2019	-0.0466	0.0724	-0.6432	0.5201	0.7876842105263158	0.8099047619047619	919544	919270	0.2928	0.0517	5.663442940038684	0.0553	0.0099	5.585858585858586	0.0023	0.0055	1.4118	0.1655	1.0682	0.0106	1.1182	0.3241	1.0383	0.0076	PASS	0.7876842105263158	0.8047878787878789	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.7876842105263158
ret_inl_elm_left	neuroretina	sys_pd_nalls2019_clinical	-0.0464	0.0571	-0.812	0.4168	0.7794098360655737	0.8099047619047619	919544	918811	0.2928	0.0517	5.663442940038684	0.164	0.018	9.111111111111112	0.0032	0.0057	1.4118	0.1655	1.0682	0.0106	1.0897	NA	0.988	0.0059	RATIO_NEGATIVE	0.7794098360655737	0.7987000000000001	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.7794098360655737
ret_inl_elm_left	neuroretina	sys_sle_bentham2015	-0.0038	0.057	-0.0665	0.947	0.9872144144144144	0.9778	919544	819644	0.2928	0.0517	5.663442940038684	0.3707	0.0653	5.67687595712098	-0.0005	0.0066	1.4118	0.1655	1.0682	0.0106	1.3539	0.6219	1.2201	0.0089	PASS	0.9872144144144144	0.9884	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.9872144144144144
ret_inl_elm_left	neuroretina	sys_ibd_delange2017	-0.0415	0.0379	-1.0938	0.2741	0.70112	0.8099047619047619	919544	892923	0.2928	0.0517	5.663442940038684	0.2137	0.0228	9.37280701754386	0.0068	0.006	1.4118	0.1655	1.0682	0.0106	1.4985	0.3731	1.186	0.0105	PASS	0.70112	0.6733317073170731	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.70112
ret_elm_isos_left	outer_retina	sys_stroke_megastroke2018	-0.0597	0.0709	-0.8418	0.3999	0.7794098360655737	0.7001684210526316	919545	919171	0.1273	0.0209	6.090909090909091	0.0083	0.0011	7.545454545454545	-0.0063	0.0055	1.1642	0.0569	1.0093	0.0095	1.1404	0.3338	1.0469	0.0068	PASS	0.7794098360655737	0.7987000000000001	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.7794098360655737
ret_elm_isos_left	outer_retina	sys_t2d_scott2017	-0.0374	0.0602	-0.6212	0.5345	0.7876842105263158	0.7001684210526316	919545	919277	0.1273	0.0209	6.090909090909091	0.0551	0.0046	11.97826086956522	-0.0024	0.0053	1.1642	0.0569	1.0093	0.0095	1.2309	0.133	1.0307	0.0087	PASS	0.7876842105263158	0.8047878787878789	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.7876842105263158
ret_elm_isos_left	outer_retina	sys_ckd_wuttke2019	-0.2118	0.0852	-2.4844	0.013	0.216	0.312	919545	916999	0.1273	0.0209	6.090909090909091	0.0096	0.0015	6.3999999999999995	0.0026	0.0055	1.1642	0.0569	1.0093	0.0095	1.1963	0.4639	1.0911	0.0077	PASS	0.216	0.2205	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.216
ret_elm_isos_left	outer_retina	sys_ad_kunkle2019	-0.0776	0.0942	-0.8235	0.4102	0.7794098360655737	0.7001684210526316	919545	919271	0.1273	0.0209	6.090909090909091	0.0553	0.0099	5.585858585858586	-0.0036	0.005	1.1642	0.0569	1.0093	0.0095	1.1182	0.3241	1.0383	0.0076	PASS	0.7794098360655737	0.7987000000000001	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.7794098360655737
ret_elm_isos_left	outer_retina	sys_pd_nalls2019_clinical	0.0163	0.0732	0.2231	0.8234	0.9402455445544554	0.8592000000000001	919545	918812	0.1273	0.0209	6.090909090909091	0.164	0.018	9.111111111111112	-0.0038	0.0055	1.1642	0.0569	1.0093	0.0095	1.0897	NA	0.988	0.0059	RATIO_NEGATIVE	0.9402455445544554	0.9551057471264368	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.9402455445544554
ret_elm_isos_left	outer_retina	sys_sle_bentham2015	0.0986	0.1316	0.7491	0.4538	0.7807757575757576	0.7001684210526316	919545	819645	0.1273	0.0209	6.090909090909091	0.3707	0.0653	5.67687595712098	-0.0084	0.0076	1.1642	0.0569	1.0093	0.0095	1.3539	0.6219	1.2201	0.0089	PASS	0.7807757575757576	0.8047878787878789	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.7807757575757576
ret_elm_isos_left	outer_retina	sys_ibd_delange2017	0.0218	0.0547	0.3982	0.6905	0.8730966292134832	0.7891428571428571	919545	892923	0.1273	0.0209	6.090909090909091	0.2137	0.0228	9.37280701754386	0.0018	0.0056	1.1642	0.0569	1.0093	0.0095	1.4985	0.3731	1.186	0.0105	PASS	0.8730966292134832	0.8946368421052632	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.8730966292134832
ret_isos_rpe_left	outer_retina	sys_stroke_megastroke2018	-0.0862	0.0718	-1.2006	0.2299	0.6848390243902439	0.7001684210526316	919544	919170	0.1415	0.0171	8.27485380116959	0.0083	0.0011	7.545454545454545	0.0027	0.0055	1.1861	0.1026	1.0191	0.0091	1.1404	0.3338	1.0469	0.0068	PASS	0.6848390243902439	0.6640162162162161	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.6848390243902439
ret_isos_rpe_left	outer_retina	sys_t2d_scott2017	-0.0289	0.0462	-0.626	0.5313	0.7876842105263158	0.7001684210526316	919544	919276	0.1415	0.0171	8.27485380116959	0.0551	0.0046	11.97826086956522	-0.009	0.005	1.1861	0.1026	1.0191	0.0091	1.2309	0.133	1.0307	0.0087	PASS	0.7876842105263158	0.8047878787878789	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.7876842105263158
ret_isos_rpe_left	outer_retina	sys_ckd_wuttke2019	-0.081	0.066	-1.2272	0.2197	0.6848390243902439	0.7001684210526316	919544	916998	0.1415	0.0171	8.27485380116959	0.0096	0.0015	6.3999999999999995	-0.002	0.005	1.1861	0.1026	1.0191	0.0091	1.1963	0.4639	1.0911	0.0077	PASS	0.6848390243902439	0.6640162162162161	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.6848390243902439
ret_isos_rpe_left	outer_retina	sys_ad_kunkle2019	-0.1087	0.0856	-1.2699	0.2041	0.6848390243902439	0.7001684210526316	919544	919270	0.1415	0.0171	8.27485380116959	0.0553	0.0099	5.585858585858586	0.0067	0.0052	1.1861	0.1026	1.0191	0.0091	1.1182	0.3241	1.0383	0.0076	PASS	0.6848390243902439	0.6640162162162161	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.6848390243902439
ret_isos_rpe_left	outer_retina	sys_pd_nalls2019_clinical	0.1231	0.061	2.0175	0.0436	0.3488	0.3856	919544	918811	0.1415	0.0171	8.27485380116959	0.164	0.018	9.111111111111112	-0.0044	0.0048	1.1861	0.1026	1.0191	0.0091	1.0897	NA	0.988	0.0059	RATIO_NEGATIVE	0.3488	0.3286769230769231	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.3488
ret_isos_rpe_left	outer_retina	sys_sle_bentham2015	-0.0307	0.0696	-0.4421	0.6584	0.8575813953488371	0.7891428571428571	919544	819644	0.1415	0.0171	8.27485380116959	0.3707	0.0653	5.67687595712098	-0.005	0.0055	1.1861	0.1026	1.0191	0.0091	1.3539	0.6219	1.2201	0.0089	PASS	0.8575813953488371	0.884013698630137	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.8575813953488371
ret_isos_rpe_left	outer_retina	sys_ibd_delange2017	0.0302	0.0496	0.6098	0.542	0.7883636363636365	0.7001684210526316	919544	892922	0.1415	0.0171	8.27485380116959	0.2137	0.0228	9.37280701754386	0.0005	0.0058	1.1861	0.1026	1.0191	0.0091	1.4985	0.3731	1.186	0.0105	PASS	0.7883636363636365	0.8047878787878789	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.7883636363636365
ret_macular_total_left	outer_retina	sys_stroke_megastroke2018	0.0674	0.0574	1.1748	0.2401	0.6848390243902439	0.7001684210526316	919544	919170	0.2346	0.0229	10.244541484716157	0.0083	0.0011	7.545454545454545	-0.011	0.0049	1.3248	0.161	1.0523	0.0107	1.1404	0.3338	1.0469	0.0068	PASS	0.6848390243902439	0.6640162162162161	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.6848390243902439
ret_macular_total_left	outer_retina	sys_t2d_scott2017	-0.0406	0.0454	-0.895	0.3708	0.7690666666666667	0.7001684210526316	919544	919276	0.2346	0.0229	10.244541484716157	0.0551	0.0046	11.97826086956522	-0.0109	0.0055	1.3248	0.161	1.0523	0.0107	1.2309	0.133	1.0307	0.0087	PASS	0.7690666666666667	0.7731574468085106	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.7690666666666667
ret_macular_total_left	outer_retina	sys_ckd_wuttke2019	-0.1222	0.0618	-1.9756	0.0482	0.3528	0.3856	919544	916999	0.2346	0.0229	10.244541484716157	0.0096	0.0015	6.3999999999999995	-4.9492e-05	0.0055	1.3248	0.161	1.0523	0.0107	1.1963	0.4639	1.0911	0.0077	PASS	0.3528	0.32927999999999996	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.3528
ret_macular_total_left	outer_retina	sys_ad_kunkle2019	-0.0704	0.0769	-0.9154	0.36	0.7607547169811321	0.7001684210526316	919544	919270	0.2346	0.0229	10.244541484716157	0.0553	0.0099	5.585858585858586	0.0065	0.0052	1.3248	0.161	1.0523	0.0107	1.1182	0.3241	1.0383	0.0076	PASS	0.7607547169811321	0.7669565217391304	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.7607547169811321
ret_macular_total_left	outer_retina	sys_pd_nalls2019_clinical	-0.0596	0.0564	-1.0578	0.2901	0.7063304347826088	0.7001684210526316	919544	918811	0.2346	0.0229	10.244541484716157	0.164	0.018	9.111111111111112	0.0101	0.0058	1.3248	0.161	1.0523	0.0107	1.0897	NA	0.988	0.0059	RATIO_NEGATIVE	0.7063304347826088	0.6769000000000001	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.7063304347826088
ret_macular_total_left	outer_retina	sys_sle_bentham2015	0.0023	0.0848	0.0271	0.9784	0.9872144144144144	0.9784	919544	819644	0.2346	0.0229	10.244541484716157	0.3707	0.0653	5.67687595712098	0.0007	0.0073	1.3248	0.161	1.0523	0.0107	1.3539	0.6219	1.2201	0.0089	PASS	0.9872144144144144	0.9884	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.9872144144144144
ret_macular_total_left	outer_retina	sys_ibd_delange2017	-0.0232	0.0393	-0.5913	0.5543	0.7959179487179487	0.7001684210526316	919544	892923	0.2346	0.0229	10.244541484716157	0.2137	0.0228	9.37280701754386	0.0007	0.0053	1.3248	0.161	1.0523	0.0107	1.4985	0.3731	1.186	0.0105	PASS	0.7959179487179487	0.8107671641791045	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.7959179487179487
ret_art_tort	microvasculature	sys_stroke_megastroke2018	-0.0255	0.0578	-0.442	0.6585	0.8575813953488371	0.8575813953488371	1143633	1140170	0.1718	0.0201	8.54726368159204	0.0083	0.0011	7.545454545454545	0.0012	0.0052	1.3363	0.1747	1.0588	0.0104	1.1404	0.3338	1.0469	0.0068	PASS	0.8575813953488371	0.884013698630137	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.8575813953488371
ret_art_tort	microvasculature	sys_t2d_scott2017	-0.0141	0.0421	-0.3351	0.7375	0.9020215053763442	0.8737166666666667	1143633	1142737	0.1718	0.0201	8.54726368159204	0.0551	0.0046	11.97826086956522	-0.0081	0.0055	1.3363	0.1747	1.0588	0.0104	1.2309	0.133	1.0307	0.0087	PASS	0.9020215053763442	0.917525	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.9020215053763442
ret_art_tort	microvasculature	sys_ckd_wuttke2019	-0.0695	0.056	-1.2419	0.2143	0.6848390243902439	0.5399692307692308	1143633	1139729	0.1718	0.0201	8.54726368159204	0.0096	0.0015	6.3999999999999995	0.0049	0.0048	1.3363	0.1747	1.0588	0.0104	1.1963	0.4639	1.0911	0.0077	PASS	0.6848390243902439	0.6640162162162161	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.6848390243902439
ret_art_tort	microvasculature	sys_ad_kunkle2019	-0.0126	0.0715	-0.1764	0.86	0.944313725490196	0.926153846153846	1143633	1142825	0.1718	0.0201	8.54726368159204	0.0553	0.0099	5.585858585858586	-0.0013	0.0052	1.3363	0.1747	1.0588	0.0104	1.1182	0.3241	1.0383	0.0076	PASS	0.944313725490196	0.9577272727272728	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.944313725490196
ret_art_tort	microvasculature	sys_pd_nalls2019_clinical	-0.0586	0.0486	-1.2068	0.2275	0.6848390243902439	0.5399692307692308	1143633	1143461	0.1718	0.0201	8.54726368159204	0.164	0.018	9.111111111111112	0.0037	0.005	1.3363	0.1747	1.0588	0.0104	1.0897	NA	0.988	0.0059	RATIO_NEGATIVE	0.6848390243902439	0.6640162162162161	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.6848390243902439
ret_art_tort	microvasculature	sys_sle_bentham2015	-0.0131	0.0676	-0.1939	0.8462	0.9402455445544554	0.926153846153846	1143633	1018519	0.1718	0.0201	8.54726368159204	0.3707	0.0653	5.67687595712098	0.0097	0.0058	1.3363	0.1747	1.0588	0.0104	1.3539	0.6219	1.2201	0.0089	PASS	0.9402455445544554	0.9551057471264368	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.9402455445544554
ret_art_tort	microvasculature	sys_ibd_delange2017	-0.0453	0.0395	-1.1486	0.2507	0.6848390243902439	0.5399692307692308	1143633	1121747	0.1718	0.0201	8.54726368159204	0.2137	0.0228	9.37280701754386	0.0071	0.0056	1.3363	0.1747	1.0588	0.0104	1.4985	0.3731	1.186	0.0105	PASS	0.6848390243902439	0.6640162162162161	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.6848390243902439
ret_ven_tort	microvasculature	sys_stroke_megastroke2018	-0.0467	0.0723	-0.6458	0.5184	0.7876842105263158	0.7639578947368421	1143642	1140179	0.1	0.0201	4.975124378109453	0.0083	0.0011	7.545454545454545	-0.0011	0.0046	1.1803	0.1038	1.0187	0.0074	1.1404	0.3338	1.0469	0.0068	PASS	0.7876842105263158	0.8047878787878789	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.7876842105263158
ret_ven_tort	microvasculature	sys_t2d_scott2017	-0.0758	0.0497	-1.5238	0.1276	0.571648	0.3969777777777777	1143642	1142746	0.1	0.0201	4.975124378109453	0.0551	0.0046	11.97826086956522	-0.0029	0.0047	1.1803	0.1038	1.0187	0.0074	1.2309	0.133	1.0307	0.0087	PASS	0.571648	0.5210333333333333	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.571648
ret_ven_tort	microvasculature	sys_ckd_wuttke2019	-0.1516	0.0734	-2.0659	0.0388	0.3428923076923077	0.22288	1143642	1139744	0.1	0.0201	4.975124378109453	0.0096	0.0015	6.3999999999999995	0.0011	0.0049	1.1803	0.1038	1.0187	0.0074	1.1963	0.4639	1.0911	0.0077	PASS	0.3428923076923077	0.32503333333333334	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.3428923076923077
ret_ven_tort	microvasculature	sys_ad_kunkle2019	-0.153	0.0782	-1.9564	0.0504	0.3528	0.2565818181818182	1143642	1142834	0.1	0.0201	4.975124378109453	0.0553	0.0099	5.585858585858586	0.0017	0.0043	1.1803	0.1038	1.0187	0.0074	1.1182	0.3241	1.0383	0.0076	PASS	0.3528	0.32927999999999996	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.3528
ret_ven_tort	microvasculature	sys_pd_nalls2019_clinical	0.08	0.0465	1.7218	0.0851	0.5016421052631579	0.3404	1143642	1143466	0.1	0.0201	4.975124378109453	0.164	0.018	9.111111111111112	-0.0041	0.0041	1.1803	0.1038	1.0187	0.0074	1.0897	NA	0.988	0.0059	RATIO_NEGATIVE	0.5016421052631579	0.46332222222222225	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.5016421052631579
ret_ven_tort	microvasculature	sys_sle_bentham2015	-0.1058	0.067	-1.5792	0.1143	0.5646666666666667	0.3969777777777777	1143642	1018529	0.1	0.0201	4.975124378109453	0.3707	0.0653	5.67687595712098	0.005	0.005	1.1803	0.1038	1.0187	0.0074	1.3539	0.6219	1.2201	0.0089	PASS	0.5646666666666667	0.5155652173913043	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE	0.5646666666666667
