pair	retinal_trait	systemic_disease	locus_index	locus_id	chr	start	stop	n_snps	rho	rho_lower	rho_upper	native_lava_p	old_p	old_q	raw_rho	raw_r2	univ_p_retina	univ_p_systemic	native_q	direction	old_significant	native_significant	classification_change	old_native_q	new_q_native_global	old_status	leave_CAD_out_status
ret_gcipl_left__sys_stroke_megastroke2018	ret_gcipl_left	sys_stroke_megastroke2018	4	4	1	2983520	3582047	148	0.985829	0.27057	1.0	0.0128026	1.13210152697922e-07	8.17420371558827e-06	0.985828655237269	0.971858137486922	0.0243034	0.00820049	0.3280673757225433	positive	True	False	OLD_SIG_NATIVE_NULL	0.3280673757225433	0.3296919595959596	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_gcipl_left__sys_pd_nalls2019_clinical	ret_gcipl_left	sys_pd_nalls2019_clinical	4	4	1	2983520	3582047	148	0.0159424	-1.0	1.0	0.968584	0.975072932577129	0.999283764825096	0.0159423683187007	0.0002541591076091	0.0243034	0.0135384	0.993412019029606	positive	False	False	NULL_BOTH	0.993412019029606	0.9939106696064826	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_art_tort__sys_stroke_megastroke2018	ret_art_tort	sys_stroke_megastroke2018	4	4	1	2983520	3582047	148	-0.953686	-1.0	-0.51544	0.000256558	1.0714599683552e-14	9.81715959281587e-12	-0.95368605429084	0.90951709014883	6.06171e-09	0.00820049	0.1311559119452054	negative	True	False	OLD_SIG_NATIVE_NULL	0.1311559119452054	0.13538140772580645	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_crve__sys_stroke_megastroke2018	ret_crve	sys_stroke_megastroke2018	4	4	1	2983520	3582047	148	0.456929	-0.26474	1.0	0.192324	0.164325181079196	0.622275119020253	0.456928782131168	0.208783911939873	0.00559885	0.00820049	0.6541635508117091	positive	False	False	NULL_BOTH	0.6541635508117091	0.6570231817234707	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_avr__sys_stroke_megastroke2018	ret_avr	sys_stroke_megastroke2018	4	4	1	2983520	3582047	148	-0.629766	-1.0	0.07311	0.0874392	0.0248434566597499	0.204553742607535	-0.629765539008285	0.396604634122396	0.0110231	0.00820049	0.5256262962008141	negative	False	False	NULL_BOTH	0.5256262962008141	0.5275013974743489	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_avr__sys_pd_nalls2019_clinical	ret_avr	sys_pd_nalls2019_clinical	4	4	1	2983520	3582047	148	-0.330715	-1.0	0.54672	0.384287	0.397551863887271	0.87394312694206	-0.330715250818377	0.109372577123862	0.0110231	0.0135384	0.7863604063919907	negative	False	False	NULL_BOTH	0.7863604063919907	0.7899677120437629	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_art_density__sys_stroke_megastroke2018	ret_art_density	sys_stroke_megastroke2018	4	4	1	2983520	3582047	148	0.168993	-0.85813	1.0	0.689561	0.727542714158534	0.983397364779288	0.168993161224132	0.0285586885405255	0.048765	0.00820049	0.91643590144435	positive	False	False	NULL_BOTH	0.91643590144435	0.918853160151031	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_inl_elm_left__sys_ad_kunkle2019	ret_inl_elm_left	sys_ad_kunkle2019	5	5	1	3582048	4281476	183	-0.514999	-1.0	0.39508	0.22503	0.147535554849267	0.590920595100976	-0.514999088478965	0.265224061134164	0.01258	0.0410639	0.6842899143968871	negative	False	False	NULL_BOTH	0.6842899143968871	0.6877671420023933	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_elm_isos_left__sys_ckd_wuttke2019	ret_elm_isos_left	sys_ckd_wuttke2019	5	5	1	3582048	4281476	183	-0.480129	-1.0	-0.01017	0.0513821	0.0591404863063474	0.356979068979091	-0.480129367708966	0.230524209736611	2.18737e-09	0.00626628	0.4530782361046704	negative	False	False	NULL_BOTH	0.4530782361046704	0.4538596484393063	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_elm_isos_left__sys_ad_kunkle2019	ret_elm_isos_left	sys_ad_kunkle2019	5	5	1	3582048	4281476	183	-0.308464	-1.0	0.29373	0.287796	0.360953289010892	0.851112064008958	-0.308463726856421	0.095149870786153	2.18737e-09	0.0410639	0.7313136050492494	negative	False	False	NULL_BOTH	0.7313136050492494	0.7351885844199265	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_isos_rpe_left__sys_ad_kunkle2019	ret_isos_rpe_left	sys_ad_kunkle2019	5	5	1	3582048	4281476	183	0.473366	-0.48861	1.0	0.271071	0.205634392651313	0.688966916840917	0.473365894291954	0.224075269878821	0.0147907	0.0410639	0.7226486234586467	positive	False	False	NULL_BOTH	0.7226486234586467	0.7273568724549496	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_crve__sys_t2d_scott2017	ret_crve	sys_t2d_scott2017	5	5	1	3582048	4281476	183	-0.456652	-1.0	0.53531	0.292069	0.236046984600589	0.72702033474235	-0.456652206553344	0.208531237750038	0.0237418	0.0309829	0.7344151981640958	negative	False	False	NULL_BOTH	0.7344151981640958	0.7382568977723865	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_crve__sys_ckd_wuttke2019	ret_crve	sys_ckd_wuttke2019	5	5	1	3582048	4281476	183	-0.330922	-1.0	0.52096	0.385993	0.394188017842801	0.871821873894981	-0.330921952250838	0.109509338481506	0.0237418	0.00626628	0.7872402721693771	negative	False	False	NULL_BOTH	0.7872402721693771	0.790647502502234	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_avr__sys_t2d_scott2017	ret_avr	sys_t2d_scott2017	5	5	1	3582048	4281476	183	0.478366	-0.57084	1.0	0.294497	0.240780475151926	0.732952706776039	0.478365792289596	0.228833831232853	0.0377098	0.0309829	0.7359932079571107	positive	False	False	NULL_BOTH	0.7359932079571107	0.7401497518640351	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_avr__sys_ckd_wuttke2019	ret_avr	sys_ckd_wuttke2019	5	5	1	3582048	4281476	183	0.414647	-0.48848	1.0	0.300897	0.268622947493647	0.764440434599303	0.414647222205406	0.171932318882659	0.0377098	0.00626628	0.7401752755045362	positive	False	False	NULL_BOTH	0.7401752755045362	0.7438421410408361	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_art_density__sys_t2d_scott2017	ret_art_density	sys_t2d_scott2017	5	5	1	3582048	4281476	183	0.0122205	-1.0	1.0	0.974617	0.980891103652261	0.99979702165825	0.0122204906420677	0.0001493403915329	0.00459196	0.0309829	0.995176508934404	positive	False	False	NULL_BOTH	0.995176508934404	0.9953218307863666	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_art_density__sys_ckd_wuttke2019	ret_art_density	sys_ckd_wuttke2019	5	5	1	3582048	4281476	183	-0.485649	-1.0	0.20518	0.150748	0.120666254078303	0.531768332218559	-0.485648864523185	0.235854819612659	0.00459196	0.00626628	0.6114936006404391	negative	False	False	NULL_BOTH	0.6114936006404391	0.6151249622977059	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_inl_left__sys_ad_kunkle2019	ret_inl_left	sys_ad_kunkle2019	6	6	1	4281477	4773403	313	0.533044	-0.01	1.0	0.0523276	0.0406424913237671	0.281814101504127	0.533044225303015	0.284136146128891	6.2694e-06	0.00893471	0.4537097912915851	positive	False	False	NULL_BOTH	0.4537097912915851	0.45453992617424244	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_inl_elm_left__sys_ad_kunkle2019	ret_inl_elm_left	sys_ad_kunkle2019	6	6	1	4281477	4773403	313	0.121718	-0.53886	0.86352	0.679565	0.745233107912243	0.985069600872297	0.12171802530277	0.0148152776836058	0.000154414	0.00893471	0.9126330307700082	positive	False	False	NULL_BOTH	0.9126330307700082	0.9150564479093258	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_elm_isos_left__sys_ckd_wuttke2019	ret_elm_isos_left	sys_ckd_wuttke2019	6	6	1	4281477	4773403	313	0.210484	-0.84727	1.0	0.606459	0.64731203355135	0.968850212811306	0.210483726626218	0.0443033991744605	0.0198894	0.0238508	0.8864356878816216	positive	False	False	NULL_BOTH	0.8864356878816216	0.889584457890695	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_elm_isos_left__sys_ad_kunkle2019	ret_elm_isos_left	sys_ad_kunkle2019	6	6	1	4281477	4773403	313	0.0521438	-1.0	1.0	0.890076	0.917084686672216	0.998589793812814	0.0521437530854749	0.0027189709858389	0.0198894	0.00893471	0.9757344742574258	positive	False	False	NULL_BOTH	0.9757344742574258	0.9764758477074759	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_isos_rpe_left__sys_ad_kunkle2019	ret_isos_rpe_left	sys_ad_kunkle2019	6	6	1	4281477	4773403	313	-0.156146	-0.90945	0.46888	0.572994	0.648472272674965	0.969068902743926	-0.156145645071119	0.024381462474676	1.37927e-05	0.00893471	0.8722341331843959	negative	False	False	NULL_BOTH	0.8722341331843959	0.8757215689712647	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_macular_total_left__sys_ckd_wuttke2019	ret_macular_total_left	sys_ckd_wuttke2019	6	6	1	4281477	4773403	313	-0.13348	-0.97755	0.5583	0.656722	0.733565449980436	0.983397364779288	-0.13347989938845	0.0178168835407507	1.16365e-05	0.0238508	0.9043673369402018	negative	False	False	NULL_BOTH	0.9043673369402018	0.9069660625376188	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_macular_total_left__sys_ad_kunkle2019	ret_macular_total_left	sys_ad_kunkle2019	6	6	1	4281477	4773403	313	0.209624	-0.38873	0.97533	0.449598	0.537489936322579	0.935421492910073	0.209623568291517	0.0439420403832685	1.16365e-05	0.00893471	0.8180552993015612	positive	False	False	NULL_BOTH	0.8180552993015612	0.8218967175213333	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_art_tort__sys_ckd_wuttke2019	ret_art_tort	sys_ckd_wuttke2019	6	6	1	4281477	4773403	313	-0.0110901	-1.0	1.0	0.980178	0.982658389887711	0.999799932214448	-0.0110901392841469	0.0001229911893417	0.0450979	0.0238508	0.9961868741585068	negative	False	False	NULL_BOTH	0.9961868741585068	0.9963925819584886	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_rnfl_left__sys_pd_nalls2019_clinical	ret_rnfl_left	sys_pd_nalls2019_clinical	7	7	1	4773404	5362404	329	-0.042667	-1.0	0.8833	0.905372	0.930400966599075	0.998589793812814	-0.0426669558079575	0.0018204691179183	0.0408143	0.000886164	0.9787067856503702	negative	False	False	NULL_BOTH	0.9787067856503702	0.9797542826394788	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_isos_rpe_left__sys_pd_nalls2019_clinical	ret_isos_rpe_left	sys_pd_nalls2019_clinical	7	7	1	4773404	5362404	329	-0.0523741	-0.70369	0.56711	0.847722	0.872959423062619	0.997248480983013	-0.0523740884022548	0.0027430451359671	0.000674222	0.000886164	0.9647522619588028	negative	False	False	NULL_BOTH	0.9647522619588028	0.9649115054121151	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_crae__sys_t2d_scott2017	ret_crae	sys_t2d_scott2017	7	7	1	4773404	5362404	329	0.978096	0.13325	1.0	0.0332672	5.72690745201867e-06	0.0002362882886763	0.978095866167217	0.956671523413398	0.0431119	0.0310535	0.4058968973972602	positive	True	False	OLD_SIG_NATIVE_NULL	0.4058968973972602	0.4065639777895856	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_crae__sys_sle_bentham2015	ret_crae	sys_sle_bentham2015	7	7	1	4773404	5362404	329	0.132419	-0.76455	1.0	0.708969	0.769782280198544	0.987926080114661	0.132418829051234	0.0175347462872999	0.0431119	0.000499818	0.9220309969653956	positive	False	False	NULL_BOTH	0.9220309969653956	0.9249404319540099	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_art_density__sys_t2d_scott2017	ret_art_density	sys_t2d_scott2017	7	7	1	4773404	5362404	329	1.0	0.21517	1.0	0.012068	3.06502048684403e-07	1.82602375237517e-05	1.07886526860634	1.16395026780502	0.0233844	0.0310535	0.3242490673038229	positive	True	False	OLD_SIG_NATIVE_NULL	0.3242490673038229	0.3267090927144536	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_ven_density__sys_t2d_scott2017	ret_ven_density	sys_t2d_scott2017	7	7	1	4773404	5362404	329	0.659903	-0.08847	1.0	0.0893024	0.0197925464653938	0.176479111453684	0.659903208365913	0.435472244411625	0.00696468	0.0310535	0.5293544203658265	positive	False	False	NULL_BOTH	0.5293544203658265	0.5309795671814671	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_art_tort__sys_stroke_megastroke2018	ret_art_tort	sys_stroke_megastroke2018	8	8	1	5362405	6136814	279	0.0831656	-0.65082	0.86832	0.785602	0.832157488173845	0.993531694944963	0.0831656282676683	0.0069165217251558	0.000255779	0.0111826	0.9457692760119532	positive	False	False	NULL_BOTH	0.9457692760119532	0.946867353126642	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_art_tort__sys_t2d_scott2017	ret_art_tort	sys_t2d_scott2017	8	8	1	5362405	6136814	279	-0.347129	-1.0	0.16218	0.173826	0.241276297569426	0.733526519287151	-0.347128675455667	0.120498317323606	0.000255779	0.000266127	0.6342317155799587	negative	False	False	NULL_BOTH	0.6342317155799587	0.6383153436899424	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_crae__sys_stroke_megastroke2018	ret_crae	sys_stroke_megastroke2018	8	8	1	5362405	6136814	279	0.1286	-0.51738	0.89292	0.656221	0.726203032661436	0.983397364779288	0.128599837286018	0.0165379181499902	2.95927e-05	0.0111826	0.904306818667358	positive	False	False	NULL_BOTH	0.904306818667358	0.9069660625376188	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_crae__sys_t2d_scott2017	ret_crae	sys_t2d_scott2017	8	8	1	5362405	6136814	279	0.358682	-0.1097	0.93486	0.134687	0.183779990824786	0.655274943512939	0.358681614773878	0.128652500776796	2.95927e-05	0.000266127	0.5926754167908593	positive	False	False	NULL_BOTH	0.5926754167908593	0.5963887467645353	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_crae__sys_sle_bentham2015	ret_crae	sys_sle_bentham2015	8	8	1	5362405	6136814	279	0.0137111	-0.6116	0.64288	0.959161	0.965789361050379	0.999108050073926	0.0137110673183529	0.0001879933670084	2.95927e-05	0.00362031	0.9907153206483712	positive	False	False	NULL_BOTH	0.9907153206483712	0.9916123709633773	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_crve__sys_stroke_megastroke2018	ret_crve	sys_stroke_megastroke2018	8	8	1	5362405	6136814	279	-0.0135829	-0.97492	0.94039	0.969178	0.977842006094548	0.99979702165825	-0.0135828905660195	0.0001844949161284	0.00624416	0.0111826	0.9935544773148148	negative	False	False	NULL_BOTH	0.9935544773148148	0.9940463918955185	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_crve__sys_t2d_scott2017	ret_crve	sys_t2d_scott2017	8	8	1	5362405	6136814	279	0.217596	-0.42286	1.0	0.459782	0.5520383482866	0.941327884629936	0.217595644688868	0.0473478645875641	0.00624416	0.000266127	0.8236920469034302	positive	False	False	NULL_BOTH	0.8236920469034302	0.8270257811593067	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_art_density__sys_stroke_megastroke2018	ret_art_density	sys_stroke_megastroke2018	8	8	1	5362405	6136814	279	0.224489	-0.41278	1.0	0.443853	0.531982963307732	0.933523332152221	0.224489497264422	0.0503955343820329	5.18506e-05	0.0111826	0.8154393977500172	positive	False	False	NULL_BOTH	0.8154393977500172	0.819526313073579	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_art_density__sys_t2d_scott2017	ret_art_density	sys_t2d_scott2017	8	8	1	5362405	6136814	279	0.151025	-0.35822	0.71365	0.534077	0.584375284230699	0.953753192026791	0.151025482535501	0.0228086963750808	5.18506e-05	0.000266127	0.8565911730548681	positive	False	False	NULL_BOTH	0.8565911730548681	0.8604518930327293	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_ven_density__sys_stroke_megastroke2018	ret_ven_density	sys_stroke_megastroke2018	8	8	1	5362405	6136814	279	-0.00165718	-0.72783	0.72748	0.995593	0.996465234443844	0.999918205902633	-0.0016571767611028	2.74623481755221e-06	0.000126517	0.0111826	0.9992339815311404	negative	False	False	NULL_BOTH	0.9992339815311404	0.9993614213338003	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_ven_density__sys_t2d_scott2017	ret_ven_density	sys_t2d_scott2017	8	8	1	5362405	6136814	279	0.180904	-0.35723	0.76994	0.467043	0.520039778024671	0.929599582078318	0.180903556932416	0.0327260969107998	0.000126517	0.000266127	0.8267907746253746	positive	False	False	NULL_BOTH	0.8267907746253746	0.8299576324110672	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_rnfl_left__sys_ad_kunkle2019	ret_rnfl_left	sys_ad_kunkle2019	9	9	1	6136815	7711794	504	-0.172492	-1.0	0.50695	0.570897	0.657706523434555	0.971167330969448	-0.172491776324305	0.0297534128995141	0.00510133	0.00177476	0.8716488069298397	negative	False	False	NULL_BOTH	0.8716488069298397	0.8752277531268812	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_rnfl_left__sys_pd_nalls2019_clinical	ret_rnfl_left	sys_pd_nalls2019_clinical	9	9	1	6136815	7711794	504	0.482191	-0.13036	1.0	0.114578	0.0936838081147315	0.470117557208032	0.482190828272613	0.232507994870228	0.00510133	0.00193682	0.5677607694744689	positive	False	False	NULL_BOTH	0.5677607694744689	0.5708294828410078	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_gcipl_left__sys_ad_kunkle2019	ret_gcipl_left	sys_ad_kunkle2019	9	9	1	6136815	7711794	504	0.0593763	-0.40974	0.53918	0.779412	0.805557055465446	0.991216895040208	0.059376298030921	0.0035255447678568	6.42987e-10	0.00177476	0.9434538860188602	positive	False	False	NULL_BOTH	0.9434538860188602	0.9445832206418865	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_gcipl_left__sys_pd_nalls2019_clinical	ret_gcipl_left	sys_pd_nalls2019_clinical	9	9	1	6136815	7711794	504	0.413964	-0.00172	0.98168	0.0532917	0.106518390684669	0.501265371424335	0.413963797341847	0.171366025509681	6.42987e-10	0.00193682	0.4557626635604113	positive	False	False	NULL_BOTH	0.4557626635604113	0.45635958933233867	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_inl_left__sys_ad_kunkle2019	ret_inl_left	sys_ad_kunkle2019	9	9	1	6136815	7711794	504	0.582212	-0.04138	1.0	0.0643283	0.0270334955784422	0.216553214053297	0.582212141454697	0.338970977657264	0.0080594	0.00177476	0.4800717850042123	positive	False	False	NULL_BOTH	0.4800717850042123	0.4804903314108831	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_inl_left__sys_pd_nalls2019_clinical	ret_inl_left	sys_pd_nalls2019_clinical	9	9	1	6136815	7711794	504	0.418378	-0.22044	1.0	0.184919	0.181690276080627	0.652486191508148	0.418378221708622	0.175040336400069	0.0080594	0.00193682	0.6459651907946499	positive	False	False	NULL_BOTH	0.6459651907946499	0.6491657187595479	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_elm_isos_left__sys_ckd_wuttke2019	ret_elm_isos_left	sys_ckd_wuttke2019	9	9	1	6136815	7711794	504	0.510997	-0.11154	1.0	0.109582	0.0743648352869889	0.411141913943109	0.510997355262554	0.261118297085324	0.00245576	0.00801728	0.5621048884169884	positive	False	False	NULL_BOTH	0.5621048884169884	0.5651955495049505	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_elm_isos_left__sys_ad_kunkle2019	ret_elm_isos_left	sys_ad_kunkle2019	9	9	1	6136815	7711794	504	0.653759	0.10556	1.0	0.0261312	0.0046619185102722	0.0619669018191311	0.653759441525278	0.427401407383443	0.00245576	0.00177476	0.3804850724383561	positive	False	False	NULL_BOTH	0.3804850724383561	0.38177124104525173	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_isos_rpe_left__sys_ad_kunkle2019	ret_isos_rpe_left	sys_ad_kunkle2019	9	9	1	6136815	7711794	504	-0.340754	-1.0	0.33543	0.282483	0.31663211227553	0.817703491892505	-0.340753976331599	0.116113272385796	0.00960676	0.00177476	0.7278169207901617	negative	False	False	NULL_BOTH	0.7278169207901617	0.7322062327498589	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_isos_rpe_left__sys_pd_nalls2019_clinical	ret_isos_rpe_left	sys_pd_nalls2019_clinical	9	9	1	6136815	7711794	504	-0.627821	-1.0	-0.01582	0.050118	0.0127590415394081	0.130830118619815	-0.627820611816739	0.394158720621945	0.00960676	0.00193682	0.4504080131490222	negative	False	False	NULL_BOTH	0.4504080131490222	0.4510018493542074	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_macular_total_left__sys_ckd_wuttke2019	ret_macular_total_left	sys_ckd_wuttke2019	9	9	1	6136815	7711794	504	0.0839277	-0.6325	0.86323	0.780859	0.830870043884771	0.993531694944963	0.0839276957825112	0.0070438581193618	0.000795226	0.00801728	0.9440012961918196	positive	False	False	NULL_BOTH	0.9440012961918196	0.9452373456033799	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_macular_total_left__sys_ad_kunkle2019	ret_macular_total_left	sys_ad_kunkle2019	9	9	1	6136815	7711794	504	0.234243	-0.36209	0.9965	0.398829	0.481656674961067	0.916872087696121	0.234243290468965	0.0548699191297276	0.000795226	0.00177476	0.7933764389021837	positive	False	False	NULL_BOTH	0.7933764389021837	0.7980115527831094	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_art_tort__sys_t2d_scott2017	ret_art_tort	sys_t2d_scott2017	9	9	1	6136815	7711794	504	-0.300815	-1.0	0.38324	0.349937	0.40499935442641	0.876979726538124	-0.300814510065847	0.0904893694661555	0.00125998	0.0144382	0.7692696574357277	negative	False	False	NULL_BOTH	0.7692696574357277	0.7730672328582434	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_art_tort__sys_ckd_wuttke2019	ret_art_tort	sys_ckd_wuttke2019	9	9	1	6136815	7711794	504	0.228872	-0.45012	1.0	0.457563	0.536345676299835	0.935413504458975	0.228872491688527	0.0523826174517149	0.00125998	0.00801728	0.8222239348752282	positive	False	False	NULL_BOTH	0.8222239348752282	0.8256287095403023	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_ven_tort__sys_t2d_scott2017	ret_ven_tort	sys_t2d_scott2017	9	9	1	6136815	7711794	504	-0.324212	-1.0	0.19047	0.207487	0.292908152948979	0.793036736499625	-0.32421204926327	0.105113452887489	5.7716e-08	0.0144382	0.6692866924384027	negative	False	False	NULL_BOTH	0.6692866924384027	0.6734366365052393	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
ret_ven_tort__sys_ckd_wuttke2019	ret_ven_tort	sys_ckd_wuttke2019	9	9	1	6136815	7711794	504	0.584144	0.10605	1.0	0.017689	0.0089156124342231	0.100807122548827	0.584144131770973	0.341224366682463	5.7716e-08	0.00801728	0.3489342383073496	positive	False	False	NULL_BOTH	0.3489342383073496	0.34922443496985356	NOT_FDR_POSITIVE	NOT_FDR_POSITIVE
